"title","abstract","date","source","origin_of_life","synthetic_biology","dominant_theme"
"An AI-directed analytical study on the optical transmission microscopic images of Pseudomonas aeruginosa in planktonic and biofilm states","Abstract:                Biofilms are resistant microbial cell aggregates that pose risks to health and food industries and produce environmental contamination. Accurate and efficient detection and prevention of biofilms are challenging and demand interdisciplinary approaches. This multidisciplinary research reports the application of a deep learning-based_         _ More           Biofilms are resistant microbial cell aggregates that pose risks to health and food industries and produce environmental contamination. Accurate and efficient detection and prevention of biofilms are challenging and demand interdisciplinary approaches. This multidisciplinary research reports the application of a deep learning-based artificial intelligence (AI) model for detecting biofilms produced by Pseudomonas aeruginosa with high accuracy. Aptamer DNA templated silver nanocluster (Ag-NC) was used to prevent biofilm formation, which produced images of the planktonic states of the bacteria. Large-volume bright field images of bacterial biofilms were used to design the AI model. In particular, we used U-Net with ResNet encoder enhancement to segment biofilm images for AI analysis. Different degrees of biofilm structures can be efficiently detected using ResNet18 and ResNet34 backbones. The potential applications of this technique are also discussed.         _ Less","","arXiv","1","0","origin_of_life"
"From Histopathology Images to Cell Clouds: Learning Slide Representations with Hierarchical Cell Transformer","Abstract:                It is clinically crucial and potentially very beneficial to be able to analyze and model directly the spatial distributions of cells in histopathology whole slide images (WSI). However, most existing WSI datasets lack_         _ More           It is clinically crucial and potentially very beneficial to be able to analyze and model directly the spatial distributions of cells in histopathology whole slide images (WSI). However, most existing WSI datasets lack cell-level annotations, owing to the extremely high cost over giga-pixel images. Thus, it remains an open question whether deep learning models can directly and effectively analyze WSIs from the semantic aspect of cell distributions. In this work, we construct a large-scale WSI dataset with more than 5 billion cell-level annotations, termed WSI-Cell5B, and a novel hierarchical Cell Cloud Transformer (CCFormer) to tackle these challenges. WSI-Cell5B is based on 6,998 WSIs of 11 cancers from The Cancer Genome Atlas Program, and all WSIs are annotated per cell by coordinates and types. To the best of our knowledge, WSI-Cell5B is the first WSI-level large-scale dataset integrating cell-level annotations. On the other hand, CCFormer formulates the collection of cells in each WSI as a cell cloud and models cell spatial distribution. Specifically, Neighboring Information Embedding (NIE) is proposed to characterize the distribution of cells within the neighborhood of each cell, and a novel Hierarchical Spatial Perception (HSP) module is proposed to learn the spatial relationship among cells in a bottom-up manner. The clinical analysis indicates that WSI-Cell5B can be used to design clinical evaluation metrics based on counting cells that effectively assess the survival risk of patients. Extensive experiments on survival prediction and cancer staging show that learning from cell spatial distribution alone can already achieve state-of-the-art (SOTA) performance, i.e., CCFormer strongly outperforms other competing methods.         _ Less","","arXiv","1","1","multiple"
"Structural Cellular Hash Chemistry","Abstract:                Hash Chemistry, a minimalistic artificial chemistry model of open-ended evolution, has recently been extended to non-spatial and cellular versions. The non-spatial version successfully demonstrated continuous adaptation and unbounded growth of complexity of self-replicating entities, but it did not simulate multiscale ecological interactions among the entiti_         _ More           Hash Chemistry, a minimalistic artificial chemistry model of open-ended evolution, has recently been extended to non-spatial and cellular versions. The non-spatial version successfully demonstrated continuous adaptation and unbounded growth of complexity of self-replicating entities, but it did not simulate multiscale ecological interactions among the entities. On the contrary, the cellular version explicitly represented multiscale spatial ecological interactions among evolving patterns, yet it failed to show meaningful adaptive evolution or complexity growth. It remains an open question whether it is possible to create a similar minimalistic evolutionary system that can exhibit all of those desired properties at once within a computationally efficient framework. Here we propose an improved version called Structural Cellular Hash Chemistry (SCHC). In SCHC, individual identities of evolving patterns are explicitly represented and processed as the connected components of the nearest neighbor graph of active cells. The neighborhood connections are established by connecting active cells with other active cells in their Moore neighborhoods in a 2D cellular grid. Evolutionary dynamics in SCHC are simulated via pairwise competitions of two randomly selected patterns, following the approach used in the non-spatial Hash Chemistry. SCHC's computational cost was significantly less than the original and non-spatial versions. Numerical simulations showed that these model modifications achieved spontaneous movement, self-replication and unbounded growth of complexity of spatial evolving patterns, which were clearly visible in space in a highly intuitive manner. Detailed analysis of simulation results showed that there were spatial ecological interactions among self-replicating patterns and their diversity was also substantially promoted in SCHC, neither of which was present in the non-spatial version.         _ Less","","arXiv","0","5","synthetic_biology"
"TTVD: Towards a Geometric Framework for Test-Time Adaptation Based on Voronoi Diagram","Abstract:                _methods to provide richer information. 2) Power Diagram (PD): A generalized version of the Voronoi Diagram that refines partitions by assigning weights to each Voronoi cell. Our experiments under rigid, peer-reviewed settings on CIFAR-10-C, CIFAR-100-C, ImageNet-C, and ImageNet-R shows that TTVD achieves remarkable improvements compared to state-of-the-art m_         _ More           Deep learning models often struggle with generalization when deploying on real-world data, due to the common distributional shift to the training data. Test-time adaptation (TTA) is an emerging scheme used at inference time to address this issue. In TTA, models are adapted online at the same time when making predictions to test data. Neighbor-based approaches have gained attention recently, where prototype embeddings provide location information to alleviate the feature shift between training and testing data. However, due to their inherit limitation of simplicity, they often struggle to learn useful patterns and encounter performance degradation. To confront this challenge, we study the TTA problem from a geometric point of view. We first reveal that the underlying structure of neighbor-based methods aligns with the Voronoi Diagram, a classical computational geometry model for space partitioning. Building on this observation, we propose the Test-Time adjustment by Voronoi Diagram guidance (TTVD), a novel framework that leverages the benefits of this geometric property. Specifically, we explore two key structures: 1) Cluster-induced Voronoi Diagram (CIVD): This integrates the joint contribution of self-supervision and entropy-based methods to provide richer information. 2) Power Diagram (PD): A generalized version of the Voronoi Diagram that refines partitions by assigning weights to each Voronoi cell. Our experiments under rigid, peer-reviewed settings on CIFAR-10-C, CIFAR-100-C, ImageNet-C, and ImageNet-R shows that TTVD achieves remarkable improvements compared to state-of-the-art methods. Moreover, extensive experimental results also explore the effects of batch size and class imbalance, which are two scenarios commonly encountered in real-world applications. These analyses further validate the robustness and adaptability of our proposed framework.         _ Less","","arXiv","1","1","multiple"
"DRC-Coder: Automated DRC Checker Code Generation Using LLM Autonomous Agent","Abstract:                _design an auto-evaluation function for LLMs to enable DRC code debugging. Experimental results show that targeting on a sub-3nm technology node for a state-of-the-art standard cell layout tool, DRC-Coder achieves perfect F1 score 1.000 in generating DRC codes for meeting the standard of a commercial DRC tool, highly outperforming standard prompting technique_         _ More           In the advanced technology nodes, the integrated design rule checker (DRC) is often utilized in place and route tools for fast optimization loops for power-performance-area. Implementing integrated DRC checkers to meet the standard of commercial DRC tools demands extensive human expertise to interpret foundry specifications, analyze layouts, and debug code iteratively. However, this labor-intensive process, requiring to be repeated by every update of technology nodes, prolongs the turnaround time of designing circuits. In this paper, we present DRC-Coder, a multi-agent framework with vision capabilities for automated DRC code generation. By incorporating vision language models and large language models (LLM), DRC-Coder can effectively process textual, visual, and layout information to perform rule interpretation and coding by two specialized LLMs. We also design an auto-evaluation function for LLMs to enable DRC code debugging. Experimental results show that targeting on a sub-3nm technology node for a state-of-the-art standard cell layout tool, DRC-Coder achieves perfect F1 score 1.000 in generating DRC codes for meeting the standard of a commercial DRC tool, highly outperforming standard prompting techniques (F1=0.631). DRC-Coder can generate code for each design rule within four minutes on average, which significantly accelerates technology advancement and reduces engineering costs.         _ Less","","arXiv","1","0","origin_of_life"
"Rethinking Cognition: Morphological Info-Computation and the Embodied Paradigm in Life and Artificial Intelligence","Abstract:                _was believed to be exclusive to humans and a result of brain activity. However, recent studies reveal it as a fundamental characteristic of all life forms, ranging from single cells to complex multicellular organisms and their networks. Yet, the literature and general understanding of cognition still largely remain human-brain-focused, leading to conceptual_         _ More           This study aims to place Lorenzo Magnanis Eco-Cognitive Computationalism within the broader context of current work on information, computation, and cognition. Traditionally, cognition was believed to be exclusive to humans and a result of brain activity. However, recent studies reveal it as a fundamental characteristic of all life forms, ranging from single cells to complex multicellular organisms and their networks. Yet, the literature and general understanding of cognition still largely remain human-brain-focused, leading to conceptual gaps and incoherency. This paper presents a variety of computational (information processing) approaches, including an info-computational approach to cognition, where natural structures represent information and dynamical processes on natural structures are regarded as computation, relative to an observing cognizing agent. We model cognition as a web of concurrent morphological computations, driven by processes of self-assembly, self-organisation, and autopoiesis across physical, chemical, and biological domains. We examine recent findings linking morphological computation, morphogenesis, agency, basal cognition, extended evolutionary synthesis, and active inference. We establish a connection to Magnanis Eco-Cognitive Computationalism and the idea of computational domestication of ignorant entities. Novel theoretical and applied insights question the boundaries of conventional computational models of cognition. The traditional models prioritize symbolic processing and often neglect the inherent constraints and potentialities in the physical embodiment of agents on different levels of organization. Gaining a better info-computational grasp of cognitive embodiment is crucial for the advancement of fields such as biology, evolutionary studies, artificial intelligence, robotics, medicine, and more.         _ Less","","arXiv","1","4","synthetic_biology"
"S$^2$ALM: Sequence-Structure Pre-trained Large Language Model for Comprehensive Antibody Representation Learning","Abstract:                _ALM can be adopted for diverse downstream tasks: accurately predicting antigen-antibody binding affinities, precisely distinguishing B cell maturation stages, identifying antibody crucial binding positions, and specifically designing novel coronavirus-binding antibodies. Remarkably, S$^2$ALM outperforms well-established and renowned baselines and sets new st_         _ More           Antibodies safeguard our health through their precise and potent binding to specific antigens, demonstrating promising therapeutic efficacy in the treatment of numerous diseases, including COVID-19. Recent advancements in biomedical language models have shown the great potential to interpret complex biological structures and functions. However, existing antibody specific models have a notable limitation that they lack explicit consideration for antibody structural information, despite the fact that both 1D sequence and 3D structure carry unique and complementary insights into antibody behavior and functionality. This paper proposes Sequence-Structure multi-level pre-trained Antibody Language Model (S$^2$ALM), combining holistic sequential and structural information in one unified, generic antibody foundation model. We construct a hierarchical pre-training paradigm incorporated with two customized multi-level training objectives to facilitate the modeling of comprehensive antibody representations. S$^2$ALM's representation space uncovers inherent functional binding mechanisms, biological evolution properties and structural interaction patterns. Pre-trained over 75 million sequences and 11.7 million structures, S$^2$ALM can be adopted for diverse downstream tasks: accurately predicting antigen-antibody binding affinities, precisely distinguishing B cell maturation stages, identifying antibody crucial binding positions, and specifically designing novel coronavirus-binding antibodies. Remarkably, S$^2$ALM outperforms well-established and renowned baselines and sets new state-of-the-art performance across extensive antibody specific understanding and generation tasks. S$^2$ALM's ability to model comprehensive and generalized representations further positions its potential to advance real-world therapeutic antibody development, potentially addressing unmet academic, industrial, and clinical needs.         _ Less","","arXiv","1","1","multiple"
"Comparative Analysis of Machine Learning and Deep Learning Models for Classifying Squamous Epithelial Cells of the Cervix","Abstract:                The cervix is the narrow end of the uterus that connects to the vagina in the female reproductive system. Abnormal cell growth in the squamous epithelial lining of the cervix leads to cervical cancer in females. A Pap smear is a diagnostic procedure used to detect cervical cancer by gently collecting_         _ More           The cervix is the narrow end of the uterus that connects to the vagina in the female reproductive system. Abnormal cell growth in the squamous epithelial lining of the cervix leads to cervical cancer in females. A Pap smear is a diagnostic procedure used to detect cervical cancer by gently collecting cells from the surface of the cervix with a small brush and analyzing their changes under a microscope. For population-based cervical cancer screening, visual inspection with acetic acid is a cost-effective method with high sensitivity. However, Pap smears are also suitable for mass screening due to their higher specificity. The current Pap smear analysis method is manual, time-consuming, labor-intensive, and prone to human error. Therefore, an artificial intelligence (AI)-based approach for automatic cell classification is needed. In this study, we aimed to classify cells in Pap smear images into five categories: superficial-intermediate, parabasal, koilocytes, dyskeratotic, and metaplastic. Various machine learning (ML) algorithms, including Gradient Boosting, Random Forest, Support Vector Machine, and k-Nearest Neighbor, as well as deep learning (DL) approaches like ResNet-50, were employed for this classification task. The ML models demonstrated high classification accuracy; however, ResNet-50 outperformed the others, achieving a classification accuracy of 93.06%. This study highlights the efficiency of DL models for cell-level classification and their potential to aid in the early diagnosis of cervical cancer from Pap smear images.         _ Less","","arXiv","0","1","synthetic_biology"
"Fluoroformer: Scaling multiple instance learning to multiplexed images via attention-based channel fusion","Abstract:                _tailored to multiplexed WSIs by leveraging scaled dot-product attention (SDPA) to interpretably fuse information across disparate channels. On a cohort of 434 non-small cell lung cancer (NSCLC) samples, we show that the Fluoroformer both obtains strong prognostic performance and recapitulates immuno-oncological hallmarks of NSCLC. Our technique thereby provi_         _ More           Though multiple instance learning (MIL) has been a foundational strategy in computational pathology for processing whole slide images (WSIs), current approaches are designed for traditional hematoxylin and eosin (H&E) slides rather than emerging multiplexed technologies. Here, we present an MIL strategy, the Fluoroformer module, that is specifically tailored to multiplexed WSIs by leveraging scaled dot-product attention (SDPA) to interpretably fuse information across disparate channels. On a cohort of 434 non-small cell lung cancer (NSCLC) samples, we show that the Fluoroformer both obtains strong prognostic performance and recapitulates immuno-oncological hallmarks of NSCLC. Our technique thereby provides a path for adapting state-of-the-art AI techniques to emerging spatial biology assays.         _ Less","","arXiv","1","0","origin_of_life"
"From Dark Matter Minihalos to Large-Scale Radiative Feedback: A Self-Consistent 3D Simulation of the First Stars and Galaxies using Neural Networks","Abstract:                _100 Mpc. We present a novel approach to this issue in which we utilize artificial neural networks (NNs) to emulate the Population III (PopIII) and Population II (PopII) star formation histories of many small-scale_         _ More           A key obstacle to accurate models of the first stars and galaxies is the vast range of distance scales that must be considered. While star formation occurs on sub-parsec scales within dark matter (DM) minihalos, it is influenced by large-scale baryon-dark matter streaming velocities ($v_{\\rm bc}$) and Lyman-Werner (LW) radiative feedback which vary significantly on scales of $\\sim$100 Mpc. We present a novel approach to this issue in which we utilize artificial neural networks (NNs) to emulate the Population III (PopIII) and Population II (PopII) star formation histories of many small-scale cells given by a more complex semi-analytic framework based on DM halo merger trees. Within each simulation cell, the NN takes a set of input parameters that depend on the surrounding large-scale environment, such as the cosmic overdensity, $_(\\vec{x})$, and $v_{\\rm bc}$ of the cell, then outputs the resulting star formation far more efficiently than is possible with the semi-analytic model. This rapid emulation allows us to self-consistently determine the LW background intensity on $\\sim$100 Mpc scales, while simultaneously including the detailed merger histories (and corresponding star formation histories) of the low-mass minihalos that host the first stars. Comparing with the full semi-analytic framework utilizing DM halo merger trees, our NN emulators yield star formation histories with redshift-averaged errors of $\\sim$10.2\\% and $\\sim$9.2\\% for PopII and PopIII, respectively. When compared to a simpler sub-grid star formation prescription reliant on halo mass function integration, we find that the diversity of halo merger histories in our simulation leads to enhanced spatial fluctuations, an earlier transition from PopIII to PopII dominated star formation, and more scatter in star formation histories overall.         _ Less","","arXiv","1","0","origin_of_life"
"Enhancing frozen histological section images using permanent-section-guided deep learning with nuclei attention","Abstract:                _rapid diagnosis during surgeries, as they can be produced within minutes. However, they suffer from artifacts and often lack crucial diagnostic details, particularly within the cell nuclei region. Permanent sections, on the other hand, contain more diagnostic detail but require a time-intensive preparation process. Here, we present a generative deep learning_         _ More           In histological pathology, frozen sections are often used for rapid diagnosis during surgeries, as they can be produced within minutes. However, they suffer from artifacts and often lack crucial diagnostic details, particularly within the cell nuclei region. Permanent sections, on the other hand, contain more diagnostic detail but require a time-intensive preparation process. Here, we present a generative deep learning approach to enhance frozen section images by leveraging guidance from permanent sections. Our method places a strong emphasis on the nuclei region, which contains critical information in both frozen and permanent sections. Importantly, our approach avoids generating artificial data in blank regions, ensuring that the network only enhances existing features without introducing potentially unreliable information. We achieve this through a segmented attention network, incorporating nuclei-segmented images during training and adding an additional loss function to refine the nuclei details in the generated permanent images. We validated our method across various tissues, including kidney, breast, and colon. This approach significantly improves histological efficiency and diagnostic accuracy, enhancing frozen section images within seconds, and seamlessly integrating into existing laboratory workflows.         _ Less","","arXiv","1","0","origin_of_life"
"Solving Generalized Grouping Problems in Cellular Manufacturing Systems Using a Network Flow Model","Abstract:                _pre-specifying the number of part families to be formed. The process route of family formation is the first stage in a hierarchical procedure. For the second stage (machine cell formation), two procedures, a quadratic assignment programming (QAP) formulation, and a heuristic procedure, are proposed. The QAP simultaneously assigns process route families and m_         _ More           This paper focuses on the generalized grouping problem in the context of cellular manufacturing systems (CMS), where parts may have more than one process route. A process route lists the machines corresponding to each part of the operation. Inspired by the extensive and widespread use of network flow algorithms, this research formulates the process route family formation for generalized grouping as a unit capacity minimum cost network flow model. The objective is to minimize dissimilarity (based on the machines required) among the process routes within a family. The proposed model optimally solves the process route family formation problem without pre-specifying the number of part families to be formed. The process route of family formation is the first stage in a hierarchical procedure. For the second stage (machine cell formation), two procedures, a quadratic assignment programming (QAP) formulation, and a heuristic procedure, are proposed. The QAP simultaneously assigns process route families and machines to a pre-specified number of cells in such a way that total machine utilization is maximized. The heuristic procedure for machine cell formation is hierarchical in nature. Computational results for some test problems show that the QAP and the heuristic procedure yield the same results.         _ Less","","arXiv","1","0","origin_of_life"
"Automating Exploratory Proteomics Research via Language Models","Abstract:                With the development of artificial intelligence, its contribution to science is evolving from simulating a complex problem to automating entire research processes and producing novel discoveries. Achieving this advancement requires both specialized general models grounded in real-world scientific data and iterative, exploratory frameworks that mirror human s_         _ More           With the development of artificial intelligence, its contribution to science is evolving from simulating a complex problem to automating entire research processes and producing novel discoveries. Achieving this advancement requires both specialized general models grounded in real-world scientific data and iterative, exploratory frameworks that mirror human scientific methodologies. In this paper, we present PROTEUS, a fully automated system for scientific discovery from raw proteomics data. PROTEUS uses large language models (LLMs) to perform hierarchical planning, execute specialized bioinformatics tools, and iteratively refine analysis workflows to generate high-quality scientific hypotheses. The system takes proteomics datasets as input and produces a comprehensive set of research objectives, analysis results, and novel biological hypotheses without human intervention. We evaluated PROTEUS on 12 proteomics datasets collected from various biological samples (e.g. immune cells, tumors) and different sample types (single-cell and bulk), generating 191 scientific hypotheses. These were assessed using both automatic LLM-based scoring on 5 metrics and detailed reviews from human experts. Results demonstrate that PROTEUS consistently produces reliable, logically coherent results that align well with existing literature while also proposing novel, evaluable hypotheses. The system's flexible architecture facilitates seamless integration of diverse analysis tools and adaptation to different proteomics data types. By automating complex proteomics analysis workflows and hypothesis generation, PROTEUS has the potential to considerably accelerate the pace of scientific discovery in proteomics research, enabling researchers to efficiently explore large-scale datasets and uncover biological insights.         _ Less","","arXiv","0","1","synthetic_biology"
"Simulation of Nanorobots with Artificial Intelligence and Reinforcement Learning for Advanced Cancer Cell Detection and Tracking","Abstract:                _for precise navigation and targeted payload delivery, particularly for conditions like brain tumors, Alzheimer's disease, and Parkinson's disease. Recent progress in artificial intelligence (AI) and machine learning (ML) has improved the navigation and effectiveness of nanorobots, allowing them to detect and interact with cancer_         _ More           Nanorobots are a promising development in targeted drug delivery and the treatment of neurological disorders, with potential for crossing the blood-brain barrier (BBB). These small devices leverage advancements in nanotechnology and bioengineering for precise navigation and targeted payload delivery, particularly for conditions like brain tumors, Alzheimer's disease, and Parkinson's disease. Recent progress in artificial intelligence (AI) and machine learning (ML) has improved the navigation and effectiveness of nanorobots, allowing them to detect and interact with cancer cells through biomarker analysis. This study presents a new reinforcement learning (RL) framework for optimizing nanorobot navigation in complex biological environments, focusing on cancer cell detection by analyzing the concentration gradients of surrounding biomarkers. We utilize a computer simulation model to explore the behavior of nanorobots in a three-dimensional space with cancer cells and biological barriers. The proposed method uses Q-learning to refine movement strategies based on real-time biomarker concentration data, enabling nanorobots to autonomously navigate to cancerous tissues for targeted drug delivery. This research lays the groundwork for future laboratory experiments and clinical applications, with implications for personalized medicine and less invasive cancer treatments. The integration of intelligent nanorobots could revolutionize therapeutic strategies, reducing side effects and enhancing treatment effectiveness for cancer patients. Further research will investigate the practical deployment of these technologies in medical settings, aiming to unlock the full potential of nanorobotics in healthcare.         _ Less","","arXiv","0","1","synthetic_biology"
"Efficient Feature Extraction and Classification Architecture for MRI-Based Brain Tumor Detection","Abstract:                Uncontrolled cell division in the brain is what gives rise to brain tumors. If the tumor size increases by more than half, there is little hope for the patient's recovery. This emphasizes the need of rapid and precise brain tumor diagnosis. When it comes to analyzing, diagnosing, and planning therapy for brain tumors, MRI imaging plays a crucial role. A_         _ More           Uncontrolled cell division in the brain is what gives rise to brain tumors. If the tumor size increases by more than half, there is little hope for the patient's recovery. This emphasizes the need of rapid and precise brain tumor diagnosis. When it comes to analyzing, diagnosing, and planning therapy for brain tumors, MRI imaging plays a crucial role. A brain tumor's development history is crucial information for doctors to have. When it comes to distinguishing between human soft tissues, MRI scans are superior. In order to get reliable classification results from MRI scans quickly, deep learning is one of the most practical methods. Early human illness diagnosis has been demonstrated to be more accurate when deep learning methods are used. In the case of diagnosing a brain tumor, when even a little misdiagnosis might have serious consequences, accuracy is especially important. Disclosure of brain tumors in medical images is still a difficult task. Brain MRIs are notoriously imprecise in revealing the presence or absence of tumors. Using MRI scans of the brain, a Convolutional Neural Network (CNN) was trained to identify the presence of a tumor in this research. Results from the CNN model showed an accuracy of 99.17%. The CNN model's characteristics were also retrieved. In order to evaluate the CNN model's capability for processing images, we applied the features via the following machine learning models: KNN, Logistic regression, SVM, Random Forest, Naive Bayes, and Perception. CNN and machine learning models were also evaluated using the standard metrics of Precision, Recall, Specificity, and F1 score. The significance of the doctor's diagnosis enhanced the accuracy of the CNN model's assistance in identifying the existence of tumor and treating the patient.         _ Less","","arXiv","1","0","origin_of_life"
"Self-organized homogenization of flow networks","Abstract:                From the vasculature of animals to the porous media making up batteries, transport by fluid flow within complex networks is crucial to service all cells or media with resources. Yet, living flow networks have a key advantage over porous media: they are adaptive and can self-organize their geometry to achieve a homogeneous perfusion throughout the network. He_         _ More           From the vasculature of animals to the porous media making up batteries, transport by fluid flow within complex networks is crucial to service all cells or media with resources. Yet, living flow networks have a key advantage over porous media: they are adaptive and can self-organize their geometry to achieve a homogeneous perfusion throughout the network. Here, we show that, through erosion, artificial flow networks self-organize to a geometry where perfusion is more homogeneous. Flowing a pulse of cleaving enzyme through a network patterned into an erodible hydrogel, with initial channels disparate in width, we observe a homogenization in channel resistances. Experimental observations are matched with numerical simulations of the diffusion-advection-sorption dynamics of an eroding enzyme within a network. Analyzing transport dynamics theoretically, we show that homogenization only occurs if the pulse of eroding enzyme lasts longer than the time it takes any channel to equilibrate to the pulse concentration. The equilibration time scale derived analytically is in agreement with simulations. Lastly, we show both numerically and experimentally that erosion leads to homogenization of complex networks containing loops. Erosion being an omnipresent reaction, our results pave the way for a very versatile self-organized increase in the performance of porous media.         _ Less","","arXiv","0","1","synthetic_biology"
"Creation of a bacterial cell controlled by a chemically synthesized genome","_ synthetic cells renders it essential for researchers making synthetic DNA constructs and  cells to clearly watermark their work to distinguish it from naturally occurring DNA and cells. We _","science.org","Google Scholar","0","1","synthetic_biology"
"Design and synthesis of a minimal bacterial genome","_ Syn3.0 is a working approximation of a minimal cell. Our first synthetic cell, syn1.0, contained  901 mycoplasma genes plus some watermarks and vector sequences. Of these, 428 have _","science.org","Google Scholar","0","2","synthetic_biology"
"Protocols for implementing an Escherichia coli based TX-TL cell-free expression system for synthetic biology","_ These optimizations include prolonging cell-free protein synthesis through ATP regeneration  or _ cell-free expression systems exist that use reconstituted components in lieu of crude cell _","pmc.ncbi.nlm.nih.gov","Google Scholar","0","2","synthetic_biology"
"Minimal cells_real and imagined","_ In the next section, we present work showing that the bottom-up synthetic path can yield an  approximately minimal genome when performed in the low genetic redundancy mycoplasmas_","cshperspectives.cshlp.org","Google Scholar","0","2","synthetic_biology"
"Self-reconfiguring colloidal active matter","Abstract:        Cells and microorganisms employ dynamic shape changes to enable steering and avoidance for efficient spatial exploration and collective organization. In contrast, active colloids, their_         _ More   Cells and microorganisms employ dynamic shape changes to enable steering and avoidance for efficient spatial exploration and collective organization. In contrast, active colloids, their synthetic counterparts, currently lack similar abilities and strategies. Through physical interactions alone, here we create active colloidal molecules that spontaneously reconfigure their structure, unlike traditional active particles. We find that self-reconfiguration decouples reorientational dynamics from rotational diffusivity and bestows our active molecules additional reorientation capabilities. During encounters with neighbors, rapid conformational changes lead to self-steering and avoidance. At higher area fractions, reconfiguration-induced avoidance fully inhibits characteristic dynamic clustering, motility-induced phase separation and flocking; instead, the system retains a homogeneous structure comprising well-separated active units. Self-reconfiguring systems therefore present an exciting path towards autonomous motion beyond that of classical synthetic active matter.         _ Less","","arXiv","1","0","origin_of_life"
"Wetting-Layer-Assisted Synthesis of Inverted CdSe/PbSe Quantum Dots and their Photophysical and Photo-Electrical Properties","Abstract:                _(QDs) based on narrow-gap PbSe and wide-gap CdSe have been studied with an eye on their prospective applications in near-infrared (NIR) light sources, photodetectors, and solar cells. The most common structural motif is a spherical QD comprising a PbSe core enclosed into a CdSe shell. However, the potential barrier created by the CdSe shell complicates extra_         _ More           Heterostructured quantum dots (QDs) based on narrow-gap PbSe and wide-gap CdSe have been studied with an eye on their prospective applications in near-infrared (NIR) light sources, photodetectors, and solar cells. The most common structural motif is a spherical QD comprising a PbSe core enclosed into a CdSe shell. However, the potential barrier created by the CdSe shell complicates extraction of band-edge charge carriers from the QD. Therefore, conventional PbSe/CdSe QDs are not suitable for applications in practical photoconversion devices. Here we report inverted CdSe/PbSe core/shell QDs that overcome this drawback. In these structures, both photocarriers (electron and hole) exhibit a significant degree of shell localization and are therefore free to move within the QD solid and be extracted into an external circuit. To create such QDs, we employ a novel synthetic method in which a thin, atomically controlled wetting layer is used to homogenize the surface of the CdSe core and thus promote directionally uniform growth of the PbSe shell. Unlike noninverted QDs, inverted core/shell structures exhibit highly efficient photocarrier transport, making them excellent candidates for applications in practical photoconversion including photovoltaics, photodetection, and photochemistry.         _ Less","","arXiv","0","1","synthetic_biology"
"AFM Cantilever Magnetometry for Measuring Femto-Nm Torques Generated by Single Magnetic Particles for Cell Actuation","Abstract:                _scheme. In this work, we developed a method using a commercially available Atomic Force Microscopy setup and cantilevers to quantify the torque generated by a single synthetic antiferromagnetic (SAF) nanoplatelet with high perpendicular magnetic anisotropy. Specifically, we measured 1.6$\\pm$0.6$\\cdot$10$^{-15}$ Nm torque while applying 373$\\pm$5 mT field at_         _ More           Particles with high anisotropy in their magnetic properties and shape are of increasing interest for mechanobiology, where transducing a remotely applied magnetic field vector to a local mechanical response is crucial. An outstanding challenge is quantifying the mechanical torque of a single nanoparticle, typically in the range of atto- to femto-Newton-meters (Nm). The magneto-mechanical torque manifests due to a misalignment of the external magnetic field vector with the built-in magnetic anisotropy axis, as opposed to a magnetic force, and complicates the measurement scheme. In this work, we developed a method using a commercially available Atomic Force Microscopy setup and cantilevers to quantify the torque generated by a single synthetic antiferromagnetic (SAF) nanoplatelet with high perpendicular magnetic anisotropy. Specifically, we measured 1.6$\\pm$0.6$\\cdot$10$^{-15}$ Nm torque while applying 373$\\pm$5 mT field at 12$\\pm$2 degrees to the built-in anisotropy axis exerted by a single circular SAF nanoplatelet with 1.88 $_$m diameter and 72 nm thickness, naively translating to a $\\approx$ 1.7 nN maximum force at the nanoplatelet apex. This measured torque and derived force of the SAF nanoplatelets is strong enough for most applications in mechanobiology; for example, it can be used to rupture (cancer) cell membranes. Moreover, SAF nanoplatelets open a route for easy tuning of the built-in magnetic anisotropy and size, reducing the torque and allowing for small mechanical stimuli for ion channel activation. This work presents a straightforward and widely applicable method for characterizing magnetic particles' mechanical transduction, which is applied to SAF nanoplatelets with a high PMA.         _ Less","","arXiv","0","1","synthetic_biology"
